является фонетико-семантическим компонентом,фонетик,汉字,部件1,部件2,部件3,部件4,部件5,部件6,部件7,部件8,部件9
Нет,,卵,卯,丶,丶,,,,,,
Нет,,岛,{⿱丿⿴#(-𠃌㇉)丶},山,,,,,,,
Нет,,迎,辶,卬,,,,,,,
Нет,,饭,饣,厂,又,,,,,,
Нет,,饮,饣,欠,,,,,,,
Нет,,系,丿,幺,小,,,,,,
Нет,,言,二,二,口,,,,,,
Нет,,冻,冫,东,,,,,,,
Да,爿,状,丬,犬,,,,,,,
Нет,,亩,亠,田,,,,,,,
Да,兄,况,冫,口,儿,,,,,,
Да,爿,床,广,木,,,,,,,
Да,车,库,广,车,,,,,,,
Нет,,疗,疒,了,,,,,,,
Нет,,应,广,小,一,,,,,,
Нет,,冷,冫,人,一,卩,,,,,
Да,言,这,辶,文,,,,,,,
Да,予,序,广,予,,,,,,,
Нет,,辛,立,十,,,,,,,
Нет,,弃,亠,厶,廾,,,,,,
Нет,,冶,冫,厶,口,,,,,,
Да,亡,忘,亡,心,,,,,,,
Нет,,闲,门,木,,,,,,,
Нет,,间,门,日,,,,,,,
Да,门,闷,门,心,,,,,,,
Да,半,判,半,刀,,,,,,,
Нет,,灶,火,土,,,,,,,
Нет,,灿,火,山,,,,,,,
Нет,,弟,丷,弓,丨,丿,,,,,
Да,王,汪,氵,王,,,,,,,
Нет,,沙,氵,少,,,,,,,
Да,气,汽,氵,气,,,,,,,
Нет,,沃,氵,夭,,,,,,,
Нет,,泛,氵,丿,之,,,,,,
Нет,,沟,氵,勹,厶,,,,,,
Да,殁,没,氵,殳,,,,,,,
Да,审,沈,氵,冘,,,,,,,
Нет,,沉,氵,冖,几,,,,,,
Нет,,怀,忄,不,,,,,,,
Да,尤,忧,忄,尤,,,,,,,
Нет,,快,忄,夬,,,,,,,
Нет,,完,宀,二,儿,,,,,,
Нет,,宋,宀,木,,,,,,,
Нет,,宏,宀,一,丿,厶,,,,,
Нет,,牢,宀,牛,,,,,,,
Да,九,究,穴,九,,,,,,,
Да,弓,穷,穴,力,,,,,,,
Нет,,灾,宀,火,,,,,,,
Нет,,良,丶,艮,,,,,,,
Нет,,证,讠,正,,,,,,,
Нет,,启,户,口,,,,,,,
Нет,,评,讠,平,,,,,,,
Нет,,补,衤,卜,,,,,,,
Нет,,初,衤,刀,,,,,,,
Да,土,社,礻,土,,,,,,,
Нет,,识,讠,口,八,,,,,,
Нет,,诉,讠,斥,,,,,,,
Нет,,诊,讠,人,彡,,,,,,
Нет,,词,讠,司,,,,,,,
Нет,,译,讠,又,二,丨,,,,,
Да,尹,君,尹,口,,,,,,,
Нет,,灵,彐,火,,,,,,,
Нет,,即,{⿸𢀳丶},卩,,,,,,,
Нет,,层,尸,云,,,,,,,
Нет,,尿,尸,水,,,,,,,
Нет,,尾,尸,毛,,,,,,,
Нет,,迟,辶,尺,,,,,,,
Да,句,局,尸,𠃌,口,,,,,,
Нет,,改,己,攴,,,,,,,
Да,长,张,弓,长,,,,,,,
Да,己,忌,己,心,,,,,,,
Нет,,际,阝,示,,,,,,,
Да,六,陆,阝,击,,,,,,,
Нет,,阿,阝,丁,口,,,,,,
Нет,,陈,阝,东,,,,,,,
Нет,,阻,阝,且,,,,,,,
Нет,,附,阝,人,寸,,,,,,
Да,少,妙,女,少,,,,,,,
Нет,,妖,女,夭,,,,,,,
Нет,,妨,女,方,,,,,,,
Да,奴,努,女,又,力,,,,,,
Нет,,忍,刃,心,,,,,,,
Нет,,劲,又,土,力,,,,,,
Нет,,鸡,又,鸟,,,,,,,
Нет,,驱,马,匚,乂,,,,,,
Нет,,纯,纟,屯,,,,,,,
Нет,,纱,纟,少,,,,,,,
Да,内,纳,纟,内,,,,,,,
Да,冈,纲,纟,冂,乂,,,,,,
Да,交,驳,马,乂,乂,,,,,,
Нет,,纵,纟,人,人,,,,,,
Нет,,纷,纟,八,刀,,,,,,
Нет,,纸,纟,氏,,,,,,,
Да,文,纹,纟,文,,,,,,,
Нет,,纺,纟,方,,,,,,,
Нет,,驴,马,户,,,,,,,
Нет,,纽,纟,丑,,,,,,,
Нет,,奉,𡗗,𰀁,,,,,,,
Нет,,玩,王,二,儿,,,,,,
Нет,,环,王,不,,,,,,,
Нет,,武,一,弋,止,,,,,,
Да,井,青,丰,月,,,,,,,
Нет,,责,丰,贝,,,,,,,
Да,见,现,王,见,,,,,,,
Нет,,表,丰,𧘇,,,,,,,
Нет,,规,夫,见,,,,,,,
Нет,,抹,扌,末,,,,,,,
Нет,,拢,扌,龙,,,,,,,
Нет,,拔,扌,一,丿,丶,又,,,,
Нет,,拣,扌,东,,,,,,,
Да,旦,担,扌,日,一,,,,,,
Да,旦,坦,土,日,一,,,,,,
Нет,,押,扌,甲,,,,,,,
Да,由,抽,扌,由,,,,,,,
Нет,,拐,扌,口,力,,,,,,
Нет,,拖,扌,丿,一,也,,,,,
Да,白,拍,扌,白,,,,,,,
Нет,,者,耂,日,,,,,,,
Да,丁,顶,丁,页,,,,,,,
Нет,,拆,扌,斥,,,,,,,
Да,雍,拥,扌,用,,,,,,,
Нет,,抵,扌,氏,丶,,,,,,
Да,句,拘,扌,勹,口,,,,,,
Да,埶,势,扌,丸,力,,,,,,
Да,包,抱,扌,勹,己,,,,,,
Нет,,垃,土,立,,,,,,,
Да,立,拉,扌,立,,,,,,,
Нет,,拦,扌,丷,三,,,,,,
Да,半,拌,扌,半,,,,,,,
Нет,,幸,土,丷,干,,,,,,
Нет,,招,扌,刀,口,,,,,,
Нет,,坡,土,皮,,,,,,,
Нет,,披,扌,皮,,,,,,,
Нет,,拨,扌,发,,,,,,,
Нет,,择,扌,又,二,丨,,,,,
Нет,,抬,扌,厶,口,,,,,,
Нет,,其,甘,一,八,,,,,,
Нет,,取,耳,又,,,,,,,
Да,古,苦,艹,十,口,,,,,,
Нет,,若,艹,一,丿,口,,,,,
Нет,,茂,艹,戊,,,,,,,
Нет,,苹,艹,平,,,,,,,
Нет,,苗,艹,田,,,,,,,
Нет,,英,艹,央,,,,,,,
Нет,,范,艹,氵,卩,,,,,,
Нет,,直,直,,,,,,,,
Нет,,茄,艹,力,口,,,,,,
Нет,,茎,艹,又,土,,,,,,
Нет,,茅,艹,矛,,,,,,,
Нет,,林,木,木,,,,,,,
Нет,,枝,木,十,又,,,,,,
Нет,,杯,木,不,,,,,,,
Да,巨,柜,木,巨,,,,,,,
Нет,,析,木,斤,,,,,,,
Нет,,板,木,厂,又,,,,,,
Нет,,松,木,八,厶,,,,,,
Нет,,枪,木,人,卩,,,,,,
Нет,,构,木,勹,厶,,,,,,
Нет,,杰,木,火,,,,,,,
Да,术,述,辶,术,,,,,,,
Нет,,枕,木,冘,,,,,,,
Нет,,丧,{⿻土丷},𰀠,,,,,,,
Нет,,或,口,一,戈,,,,,,
Нет,,画,一,由,凵,,,,,,
Нет,,卧,臣,卜,,,,,,,
Нет,,事,一,口,肀,,,,,,
Нет,,刺,朿,刀,,,,,,,
Нет,,枣,朿,冫,,,,,,,
Нет,,雨,一,冂,丨,丶,丶,丶,丶,,
Нет,,卖,十,乛,头,,,,,,
Да,黄,矿,石,广,,,,,,,
Нет,,码,石,马,,,,,,,
Нет,,厕,厂,贝,刀,,,,,,
Нет,,奔,大,十,廾,,,,,,
Нет,,奇,大,丁,口,,,,,,
Нет,,奋,大,田,,,,,,,
Нет,,态,太,心,,,,,,,
Нет,,欧,匚,乂,欠,,,,,,
Нет,,垄,土,龙,,,,,,,
Нет,,妻,一,肀,女,,,,,,
Нет,,轰,车,又,又,,,,,,
Нет,,顷,匕,页,,,,,,,
Нет,,转,车,专,,,,,,,
Нет,,斩,车,斤,,,,,,,
Нет,,轮,车,仑,,,,,,,
Нет,,软,车,欠,,,,,,,
Нет,,到,至,刀,,,,,,,
Нет,,非,三,丿,丨,三,,,,,
Нет,,叔,上,小,又,,,,,,
Нет,,肯,止,月,,,,,,,
Да,止,齿,止,人,凵,,,,,,
Нет,,些,止,匕,二,,,,,,
Нет,,虎,虍,儿,,,,,,,
Нет,,虏,虍,力,,,,,,,
Да,臣,肾,丨,丨,又,月,,,,,
Да,臣,贤,丨,丨,又,贝,,,,,
Нет,,尚,小,冂,口,,,,,,
Да,王,旺,日,王,,,,,,,
Нет,,具,目,一,八,,,,,,
Нет,,果,日,木,,,,,,,
Нет,,味,口,未,,,,,,,
Нет,,昆,日,匕,匕,,,,,,
Нет,,国,囗,玉,,,,,,,
Нет,,昌,日,曰,,,,,,,
Да,昜,畅,申,𠃓,,,,,,,
Нет,,明,日,月,,,,,,,
Нет,,易,日,勿,,,,,,,
Нет,,昂,日,卬,,,,,,,
Нет,,典,曲,八,,,,,,,
Да,古,固,囗,十,口,,,,,,
Да,中,忠,中,心,,,,,,,
Нет,,咐,口,人,寸,,,,,,
Нет,,呼,口,乎,,,,,,,
Нет,,鸣,口,鸟,,,,,,,
Да,永,咏,口,永,,,,,,,
Нет,,呢,口,尸,匕,,,,,,
Да,干,岸,山,厂,干,,,,,,
Нет,,岩,山,石,,,,,,,
Нет,,帖,巾,卜,口,,,,,,
Нет,,罗,罒,夕,,,,,,,
Нет,,帜,巾,口,八,,,,,,
Нет,,岭,山,人,一,卩,,,,,
Нет,,凯,山,己,几,,,,,,
Да,贝,败,贝,攴,,,,,,,
Нет,,贩,贝,厂,又,,,,,,
Нет,,购,贝,勹,厶,,,,,,
Нет,,图,囗,夂,冫,,,,,,
Нет,,钓,钅,勺,,,,,,,
Нет,,制,丿,二,巾,刀,,,,,
Нет,,知,矢,口,,,,,,,
Нет,,垂,丿,二,土,丨,丨,,,,
Нет,,牧,牛,攴,,,,,,,
Да,勿,物,牛,勿,,,,,,,
Нет,,乖,千,{⿰二丨},匕,,,,,,
Нет,,刮,舌,刀,,,,,,,
Да,干,秆,禾,干,,,,,,,
Нет,,和,禾,口,,,,,,,
Нет,,季,禾,子,,,,,,,
Нет,,委,禾,女,,,,,,,
Нет,,佳,人,土,土,,,,,,
Да,寺,侍,人,土,寸,,,,,,
Да,共,供,人,井,八,,,,,,
Нет,,使,人,吏,,,,,,,
Да,列,例,人,歹,刀,,,,,,
Нет,,版,片,厂,又,,,,,,
Да,至,侄,人,至,,,,,,,
Да,鼎,侦,人,卜,贝,,,,,,
Нет,,侧,人,贝,刀,,,,,,
Нет,,凭,人,壬,几,,,,,,
Нет,,侨,人,夭,丿,丨,,,,,
Нет,,佩,人,几,丿,巾,,,,,
Да,化,货,人,匕,贝,,,,,,
Да,衣,依,人,衣,,,,,,,
Нет,,的,白,勺,,,,,,,
Да,白,迫,辶,白,,,,,,,
Нет,,质,厂,十,贝,,,,,,
Нет,,欣,斤,欠,,,,,,,
Да,丁,征,彳,正,,,,,,,
Да,王,往,彳,主,,,,,,,
Нет,,爬,爪,巴,,,,,,,
Нет,,彼,彳,皮,,,,,,,
Нет,,径,彳,又,土,,,,,,
Нет,,所,户,斤,,,,,,,
Да,余,舍,人,舌,,,,,,,
Нет,,金,人,王,丷,,,,,,
Нет,,命,人,一,口,卩,,,,,
Нет,,斧,父,斤,,,,,,,
Нет,,爸,父,巴,,,,,,,
Нет,,采,爪,木,,,,,,,
Нет,,受,爪,冖,又,,,,,,
Нет,,乳,爪,子,乙,,,,,,
Да,今,贪,今,贝,,,,,,,
Нет,,念,今,心,,,,,,,
Нет,,贫,八,刀,贝,,,,,,
Нет,,肤,月,夫,,,,,,,
Нет,,肺,月,巿,,,,,,,
Нет,,肢,月,十,又,,,,,,
Нет,,肿,月,中,,,,,,,
Да,长,胀,月,长,,,,,,,
Нет,,朋,月,月,,,,,,,
Да,夃,股,月,殳,,,,,,,
Да,妃,肥,月,巴,,,,,,,
Нет,,服,月,卩,又,,,,,,
Нет,,胁,月,办,,,,,,,
Нет,,周,冂,土,口,,,,,,
Нет,,昏,氏,日,,,,,,,
Нет,,鱼,刀,田,一,,,,,,
Нет,,兔,免,丶,,,,,,,
Нет,,狐,犭,瓜,,,,,,,
Да,勿,忽,勿,心,,,,,,,
Да,句,狗,犭,勹,口,,,,,,
Нет,,备,夂,田,,,,,,,
Нет,,饰,饣,丿,一,巾,,,,,
Да,包,饱,饣,勹,己,,,,,,
Нет,,饲,饣,司,,,,,,,
Нет,,变,亦,又,,,,,,,
Нет,,京,亠,口,小,,,,,,
Нет,,享,亠,口,子,,,,,,
Нет,,店,广,卜,口,,,,,,
Да,亦,夜,亠,人,夕,丶,,,,,
Нет,,庙,广,由,,,,,,,
Нет,,府,广,人,寸,,,,,,
Нет,,底,广,氏,丶,,,,,,
Нет,,剂,文,丿,丨,刀,,,,,
Да,交,郊,亠,父,阝,,,,,,
Нет,,废,广,发,,,,,,,
Да,争,净,冫,争,,,,,,,
Да,亡,盲,目,亡,,,,,,,
Нет,,放,方,攴,,,,,,,
Нет,,刻,亥,刀,,,,,,,
Нет,,育,亠,厶,月,,,,,,
Нет,,闸,门,甲,,,,,,,
Нет,,闹,门,亠,巾,,,,,,
Нет,,郑,丷,天,阝,,,,,,
Нет,,券,丷,夫,刀,,,,,,
Нет,,卷,夫,八,卩,,,,,,
Нет,,单,丷,甲,一,,,,,,
Да,少,炒,火,少,,,,,,,
Нет,,炊,火,欠,,,,,,,
Нет,,炕,火,亠,几,,,,,,
Нет,,炎,火,火,,,,,,,
Нет,,炉,火,户,,,,,,,
Нет,,沫,氵,末,,,,,,,
Нет,,浅,氵,戋,,,,,,,
Нет,,法,氵,去,,,,,,,
Да,世,泄,氵,世,,,,,,,
Нет,,河,氵,丁,口,,,,,,
Нет,,沾,氵,卜,口,,,,,,
Нет,,泪,氵,目,,,,,,,
Да,由,油,氵,由,,,,,,,
Да,白,泊,氵,白,,,,,,,
Нет,,沿,氵,八,口,,,,,,
Да,包,泡,氵,勹,己,,,,,,
Нет,,注,氵,主,,,,,,,
Нет,,泻,氵,冖,与,,,,,,
Да,永,泳,氵,永,,,,,,,
Нет,,泥,氵,尸,匕,,,,,,
Нет,,沸,氵,弗,,,,,,,
Нет,,波,氵,皮,,,,,,,
Нет,,泼,氵,发,,,,,,,
Нет,,泽,氵,又,二,丨,,,,,
Нет,,治,氵,厶,口,,,,,,
Нет,,怖,忄,一,丿,巾,,,,,
Да,生,性,忄,生,,,,,,,
Да,白,怕,忄,白,,,,,,,
Нет,,怜,忄,人,一,卩,,,,,
Да,圣,怪,忄,又,土,,,,,,
Да,学,学,小,冖,子,,,,,,
Да,缶,宝,宀,玉,,,,,,,
Нет,,宗,宀,示,,,,,,,
Да,丁,定,宀,乛,卜,人,,,,,
Нет,,宜,宀,且,,,,,,,
Нет,,审,宀,申,,,,,,,
Да,由,宙,宀,由,,,,,,,
Нет,,官,宀,㠯,,,,,,,
Да,工,空,穴,工,,,,,,,
Да,帘,帘,穴,巾,,,,,,,
Нет,,实,宀,头,,,,,,,
Нет,,试,讠,弋,工,,,,,,
Да,良,郎,丶,{⿸𢀳丶},阝,,,,,,
Да,寺,诗,讠,土,寸,,,,,,
Нет,,肩,户,月,,,,,,,
Нет,,房,户,方,,,,,,,
Да,成,诚,讠,戊,𠃌,,,,,,
Нет,,衬,衤,寸,,,,,,,
Да,彡,衫,衤,彡,,,,,,,
Нет,,视,礻,见,,,,,,,
Нет,,话,讠,舌,,,,,,,
Нет,,诞,讠,廴,𠂛,,,,,,
Нет,,询,讠,勹,日,,,,,,
Нет,,该,讠,亥,,,,,,,
Нет,,详,讠,羊,,,,,,,
Нет,,建,廴,聿,,,,,,,
Нет,,肃,肀,八,丿,丨,,,,,
Нет,,录,彐,氺,,,,,,,
Да,隶,隶,隶,,,,,,,,
Да,古,居,尸,十,口,,,,,,
Нет,,届,尸,由,,,,,,,
Нет,,刷,尸,巾,刀,,,,,,
Да,出,屈,尸,出,,,,,,,
Нет,,弦,弓,亠,幺,,,,,,
Нет,,承,承,,,,,,,,
Нет,,孟,子,皿,,,,,,,
Нет,,孤,子,瓜,,,,,,,
Нет,,陕,阝,夹,,,,,,,
Нет,,降,阝,夂,㐄,,,,,,
Нет,,限,阝,艮,,,,,,,
Нет,,妹,女,未,,,,,,,
Да,古,姑,女,十,口,,,,,,
Нет,,姐,女,且,,,,,,,
Да,生,姓,女,生,,,,,,,
Нет,,始,女,厶,口,,,,,,
Нет,,驾,力,口,马,,,,,,
Нет,,参,厶,大,彡,,,,,,
Нет,,艰,又,艮,,,,,,,
Нет,,线,纟,戋,,,,,,,
Нет,,练,纟,东,,,,,,,
Нет,,组,纟,且,,,,,,,
Нет,,细,纟,田,,,,,,,
Нет,,驶,马,史,,,,,,,
Нет,,织,纟,口,八,,,,,,
Да,冬,终,纟,夂,冫,,,,,,
Нет,,驻,马,主,,,,,,,
Нет,,驼,马,宀,匕,,,,,,
Нет,,绍,纟,刀,口,,,,,,
Нет,,经,纟,又,土,,,,,,
Нет,,贯,毌,贝,,,,,,,
Нет,,奏,𡗗,天,,,,,,,
Нет,,春,𡗗,日,,,,,,,
Нет,,帮,丰,阝,巾,,,,,,
Нет,,珍,王,人,彡,,,,,,
Нет,,玻,王,皮,,,,,,,
Нет,,毒,丰,母,,,,,,,
Да,耕,型,开,刀,土,,,,,,
Нет,,挂,扌,土,土,,,,,,
Нет,,封,土,土,寸,,,,,,
Да,寺,持,扌,土,寸,,,,,,
Да,工,项,工,页,,,,,,,
Нет,,垮,土,大,一,丂,,,,,
Нет,,挎,扌,大,一,丂,,,,,
Да,成,城,土,戊,𠃌,,,,,,
Нет,,挠,扌,𭠍,兀,,,,,,
Да,正,政,正,攴,,,,,,,
Нет,,赴,十,乛,卜,人,卜,,,,
Да,小,赵,十,乛,卜,人,乂,,,,
Нет,,挡,扌,小,彐,,,,,,
Нет,,挺,扌,廴,壬,,,,,,
Нет,,括,扌,舌,,,,,,,
Да,全,拴,扌,人,王,,,,,,
Да,合,拾,扌,人,一,口,,,,,
Нет,,挑,扌,兆,,,,,,,
Нет,,指,扌,匕,日,,,,,,
Нет,,垫,扌,丸,土,,,,,,
Нет,,挣,扌,争,,,,,,,
Нет,,挤,扌,文,丿,丨,,,,,
Нет,,拼,扌,丷,开,,,,,,
Нет,,挖,扌,穴,乙,,,,,,
Нет,,按,扌,宀,女,,,,,,
Нет,,挥,扌,冖,车,,,,,,
Нет,,挪,扌,月,阝,,,,,,
Нет,,某,甘,木,,,,,,,
Нет,,甚,其,乚,,,,,,,
Нет,,革,廿,口,十,,,,,,
Да,存,荐,艹,一,人,子,,,,,
Да,共,巷,井,八,己,,,,,,
Нет,,带,卅,冖,巾,,,,,,
Да,早,草,艹,日,十,,,,,,
Нет,,茧,艹,虫,,,,,,,
Да,余,茶,艹,人,一,小,,,,,
Да,巟,荒,艹,亡,川,,,,,,
Да,亡,茫,艹,氵,亡,,,,,,
Да,昜,荡,艹,氵,𠃓,,,,,,
Нет,,荣,艹,冖,木,,,,,,
Да,古,故,十,口,攴,,,,,,
Да,古,胡,十,口,月,,,,,,
Нет,,南,十,冂,丫,二,,,,,
Нет,,药,艹,纟,勺,,,,,,
Нет,,标,木,示,,,,,,,
Да,古,枯,木,十,口,,,,,,
Нет,,柄,木,丙,,,,,,,
Нет,,栋,木,东,,,,,,,
Нет,,相,木,目,,,,,,,
Нет,,查,木,日,一,,,,,,
Да,白,柏,木,白,,,,,,,
Нет,,柳,木,卯,,,,,,,
Нет,,柱,木,主,,,,,,,
Нет,,柿,木,亠,巾,,,,,,
Нет,,栏,木,丷,三,,,,,,
Нет,,树,木,又,寸,,,,,,
Нет,,要,西,女,,,,,,,
Нет,,咸,戊,一,口,,,,,,
Нет,,威,戊,一,女,,,,,,
Нет,,歪,不,正,,,,,,,
Да,开,研,石,开,,,,,,,
Нет,,砖,石,专,,,,,,,
Да,里,厘,厂,里,,,,,,,
Нет,,厚,厂,日,子,,,,,,
Да,七,砌,石,七,刀,,,,,,
Нет,,砍,石,欠,,,,,,,
Да,丏,面,一,丶,囗,丨,丨,一,一,,
Нет,,耐,而,寸,,,,,,,
Нет,,耍,而,女,,,,,,,
Нет,,牵,大,冖,牛,,,,,,
Нет,,残,歹,戋,,,,,,,
Нет,,殃,歹,央,,,,,,,
Нет,,轻,车,又,土,,,,,,
Нет,,鸦,牙,鸟,,,,,,,
Нет,,皆,匕,匕,白,,,,,,
Нет,,背,{⿰二丨},匕,月,,,,,,
Нет,,战,卜,口,戈,,,,,,
Нет,,点,卜,口,火,,,,,,
Да,品,临,丨,丨,丿,一,丶,口,丨,,
Да,监,览,丨,丨,丿,一,丶,见,,,
Нет,,竖,刂,又,立,,,,,,
Да,生,省,少,目,,,,,,,
Да,肖,削,小,月,刀,,,,,,
Нет,,尝,小,冖,云,,,,,,
Нет,,是,日,乛,卜,人,,,,,
Нет,,盼,目,八,刀,,,,,,
Нет,,眨,目,丿,之,,,,,,
Да,共,哄,口,井,八,,,,,,
Нет,,显,日,业,,,,,,,
Нет,,哑,口,亚,,,,,,,
Нет,,冒,冃,目,,,,,,,
Нет,,映,日,央,,,,,,,
Да,生,星,生,日,,,,,,,
Нет,,昨,日,乍,,,,,,,
Нет,,畏,田,一,𰀠,,,,,,
Нет,,趴,口,卜,人,八,,,,,
Нет,,胃,田,月,,,,,,,
Да,贵,贵,中,一,贝,,,,,,
Да,介,界,田,人,丿,丨,,,,,
Да,工,虹,虫,工,,,,,,,
Нет,,虾,虫,下,,,,,,,
Да,我,蚁,虫,义,,,,,,,
Нет,,思,田,心,,,,,,,
Нет,,蚂,虫,马,,,,,,,
Нет,,虽,口,虫,,,,,,,
Нет,,品,口,口,口,,,,,,
Нет,,咽,口,囗,大,,,,,,
Нет,,骂,口,口,马,,,,,,
Да,华,哗,口,人,匕,十,,,,,
Нет,,咱,口,自,,,,,,,
Нет,,响,向,口,,,,,,,
Да,合,哈,口,人,一,口,,,,,
Да,交,咬,口,亠,父,,,,,,
Нет,,咳,口,亥,,,,,,,
Нет,,哪,口,月,阝,,,,,,
Нет,,炭,山,厂,火,,,,,,
Нет,,峡,山,夹,,,,,,,
Нет,,罚,罒,讠,刂,,,,,,
Нет,,贱,贝,戋,,,,,,,
Нет,,贴,贝,卜,口,,,,,,
Нет,,骨,冎,月,,,,,,,
Да,少,钞,钅,少,,,,,,,
Нет,,钟,钅,中,,,,,,,
Да,冈,钢,钅,冂,乂,,,,,,
Да,龠,钥,钅,月,,,,,,,
Да,句,钩,钅,勹,厶,,,,,,
Да,午,卸,𦈢,卩,,,,,,,
Да,工,缸,缶,工,,,,,,,
Нет,,拜,手,{⿱一丰},,,,,,,
Нет,,看,手,目,,,,,,,
Нет,,矩,矢,巨,,,,,,,
Нет,,怎,乍,心,,,,,,,
Да,生,牲,牛,生,,,,,,,
Нет,,选,辶,丿,土,儿,,,,,
Нет,,适,辶,舌,,,,,,,
Да,少,秒,禾,少,,,,,,,
Нет,,香,禾,日,,,,,,,
Да,中,种,禾,中,,,,,,,
Да,秋,秋,禾,火,,,,,,,
Нет,,科,禾,斗,,,,,,,
Нет,,重,丿,一,里,,,,,,
Нет,,复,丿,一,日,夕,,,,,
Да,干,竿,竹,干,,,,,,,
Нет,,段,丿,丰,殳,,,,,,
Нет,,便,人,更,,,,,,,
Нет,,俩,人,两,,,,,,,
Нет,,贷,人,弋,贝,,,,,,
Да,川,顺,川,页,,,,,,,
Нет,,修,亻,丨,夂,彡,,,,,
Нет,,保,人,口,木,,,,,,
Да,足,促,人,口,卜,人,,,,,
Нет,,侮,人,𠂉,母,,,,,,
Да,佥,俭,人,人,一,小,一,,,,
Нет,,俗,人,谷,,,,,,,
Да,孚,俘,人,爪,子,,,,,,
Да,人,信,人,言,,,,,,,
Нет,,皇,白,王,,,,,,,
Нет,,泉,白,水,,,,,,,
Нет,,鬼,鬼,,,,,,,,
Нет,,侵,人,彐,冖,又,,,,,
Нет,,追,辶,户,乛,一,,,,,
Да,夋,俊,人,厶,八,夂,,,,,
Нет,,盾,厂,十,目,,,,,,
Да,寺,待,彳,土,寸,,,,,,
Да,聿,律,彳,聿,,,,,,,
Нет,,很,彳,艮,,,,,,,
Да,须,须,彡,页,,,,,,,
Да,余,叙,人,于,八,又,,,,,
Да,佥,剑,人,一,小,一,刀,,,,
Нет,,逃,辶,兆,,,,,,,
Нет,,食,人,丶,艮,,,,,,
Нет,,盆,八,刀,皿,,,,,,
Да,旦,胆,月,日,一,,,,,,
Да,生,胜,月,生,,,,,,,
Да,包,胞,月,勹,己,,,,,,
Да,半,胖,月,半,,,,,,,
Нет,,脉,月,永,,,,,,,
Нет,,勉,免,力,,,,,,,
Нет,,狭,犭,夹,,,,,,,
Нет,,狮,犭,丨,丿,丿,巾,,,,
Нет,,独,犭,虫,,,,,,,
Да,交,狡,犭,亠,父,,,,,,
Нет,,狱,犭,讠,犬,,,,,,
Нет,,狠,犭,艮,,,,,,,
Нет,,贸,卯,贝,,,,,,,
Нет,,怨,夕,卩,心,,,,,,
Да,及,急,刀,彐,心,,,,,,
Нет,,饶,饣,𭠍,兀,,,,,,
Нет,,蚀,饣,虫,,,,,,,
Нет,,饺,饣,亠,父,,,,,,
Нет,,饼,饣,丷,开,,,,,,
Нет,,弯,亦,弓,,,,,,,
Да,爿,将,丬,夕,寸,,,,,,
Да,将,奖,丬,夕,大,,,,,,
Да,衣,哀,衣,口,,,,,,,
Да,丁,亭,亠,口,冖,丁,,,,,
Да,京,亮,亠,口,冖,儿,,,,,
Да,石,度,广,廿,又,,,,,,
Нет,,迹,辶,亦,,,,,,,
Нет,,庭,广,廴,壬,,,,,,
Нет,,疮,疒,人,卩,,,,,,
Нет,,疯,疒,风,,,,,,,
Нет,,疫,疒,殳,,,,,,,
Нет,,疤,疒,巴,,,,,,,
Нет,,姿,冫,欠,女,,,,,,
Нет,,亲,立,木,,,,,,,
Нет,,音,立,日,,,,,,,
Нет,,帝,亠,丷,冖,巾,,,,,
Нет,,施,方,丿,一,也,,,,,
Да,门,闻,门,耳,,,,,,,
Нет,,阀,门,人,戈,,,,,,
Да,各,阁,门,夂,口,,,,,,
Да,左,差,羊,工,,,,,,,
Нет,,养,{⿱䒑夫},{⿰丿丨},,,,,,,
Нет,,美,羊,大,,,,,,,
Да,畺,姜,羊,女,,,,,,,
Нет,,叛,半,厂,又,,,,,,
Нет,,送,辶,丷,天,,,,,,
Нет,,类,米,大,,,,,,,
Да,米,迷,辶,米,,,,,,,
Нет,,前,丷,一,月,刂,,,,,
Нет,,首,丷,一,丶,目,,,,,
Нет,,逆,辶,屰,,,,,,,
Нет,,总,丷,口,心,,,,,,
Нет,,炼,火,东,,,,,,,
Нет,,炸,火,乍,,,,,,,
Да,包,炮,火,勹,己,,,,,,
Нет,,烂,火,丷,三,,,,,,
Нет,,剃,弟,刀,,,,,,,
Да,吉,洁,氵,士,口,,,,,,
Да,共,洪,氵,井,八,,,,,,
Нет,,洒,氵,西,,,,,,,
Нет,,浇,氵,𭠍,兀,,,,,,
Нет,,浊,氵,虫,,,,,,,
Да,同,洞,氵,冂,一,口,,,,,
Нет,,测,氵,贝,刀,,,,,,
Да,先,洗,氵,丿,土,儿,,,,,
Нет,,活,氵,舌,,,,,,,
Нет,,派,氵,厂,氏,,,,,,
Да,合,洽,氵,人,一,口,,,,,
Нет,,染,氵,九,木,,,,,,
Нет,,济,氵,文,丿,丨,,,,,
Нет,,洋,氵,羊,,,,,,,
Да,州,洲,氵,州,,,,,,,
Нет,,浑,氵,冖,车,,,,,,
Нет,,浓,氵,农,,,,,,,
Нет,,津,氵,聿,,,,,,,
Нет,,恒,忄,二,日,,,,,,
Да,灰,恢,忄,厂,火,,,,,,
Да,合,恰,忄,人,一,口,,,,,
Нет,,恼,忄,亠,乂,凵,,,,,
Нет,,恨,忄,艮,,,,,,,
Нет,,举,丷,六,二,丨,,,,,
Да,学,觉,小,冖,见,,,,,,
Нет,,宣,宀,二,日,,,,,,
